GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1046737968	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-06	06:01:00	obsr628713	S78857398	Traveling	P22	EBIRD	113	2.600		6	1	G6124196	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046744436	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-06	09:28:00	obsr1205238	S78857597	Traveling	P22	EBIRD	150	1.720		6	1	G6124220	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046725581	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-07	08:49:00	obsr334815	S78857264	Traveling	P22	EBIRD	139	1.620		6	1	G6124231	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1050276921	2021-04-08 23:12:40.009675	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Awa (La Union) Road	L2166918	H	0.9710453	-78.5555114	2021-01-10	06:13:00	obsr331950	S79143621	Traveling	P22	EBIRD	185	6.160		4	1	G6138321	0	1	0		Inicio de la vía al territorio Awá. Más abajo de Alto Tambo.		
URN:CornellLabOfOrnithology:EBIRD:OBS1046745376	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-05	15:34:00	obsr971685	S78857706	Traveling	P22	EBIRD	132	1.600		6	1	G6124227	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046745515	2021-08-10 10:43:06.26454	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-07	06:39:00	obsr971685	S78857716	Traveling	P22	EBIRD	129	2.500		6	1	G6124232	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1048189781	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-07	08:49:00	obsr331950	S78975885	Traveling	P22	EBIRD	139	1.620		6	1	G6124231	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1048179731	2021-08-10 10:43:08.774274	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Bosque Protector Yalaré	L13210783	P	1.0730055	-78.8968356	2021-01-09	07:38:00	obsr1205238	S78975175	Traveling	P22	EBIRD	58	0.610		4	1	G6129449	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1062698434	2021-01-30 18:55:18.48859	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Santo Domingo de Onzole, Esmeraldas, EC (0.553, -79.19)	L13438923	P	0.5534162	-79.1901036	2021-01-23	07:10:00	obsr808155	S80157096	Traveling	P22	EBIRD	700	3.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046734971	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-06	08:26:00	obsr971685	S78857237	Traveling	P22	EBIRD	48	0.800		6	1	G6124221	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046719626	2021-08-10 10:43:06.29007	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-07	06:39:00	obsr334815	S78857244	Traveling	P22	EBIRD	129	2.500		6	1	G6124232	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1056728183	2021-08-10 10:43:06.882475	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Santo Domingo de Onzole, Esmeraldas, EC (0.53, -79.2)Hoja Blanca	L13349780	P	0.5303491	-79.2004510	2021-01-20	08:59:00	obsr808155	S79667111	Traveling	P22	EBIRD	637	16.690		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046723103	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-05	15:34:00	obsr628713	S78857364	Traveling	P22	EBIRD	132	1.600		6	1	G6124227	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1049782261	2021-04-08 23:12:40.009675	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Awa (La Union) Road	L2166918	H	0.9710453	-78.5555114	2021-01-10	06:13:00	obsr1205238	S79105607	Traveling	P22	EBIRD	185	6.160		4	1	G6138321	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046727517	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-06	06:01:00	obsr334815	S78856968	Traveling	P22	EBIRD	113	2.600		6	1	G6124196	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1048184624	2021-08-10 10:43:06.299789	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-07	06:39:00	obsr331950	S78975541	Traveling	P22	EBIRD	129	2.500		6	1	G6124232	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1062687618	2021-02-03 01:41:27.321091	1945	species	Dusky Pigeon	Patagioenas goodsoni			3					Ecuador	EC	Esmeraldas	EC-E							Santo Domingo de Onzole, Esmeraldas, EC (0.533, -79.172)	L13438918	P	0.5331112	-79.1723701	2021-01-24	05:42:00	obsr808155	S80157054	Traveling	P22	EBIRD	700	3.000		1	1		0	1	0				
