GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS779612359	2019-06-27 16:58:46	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Cauca	CO-CAU							RN K'ok'oi Euja, comunidad Eperara Siapidaara	L9544912	P	2.8903585	-77.5358833	2019-04-06	06:00:00	obsr739943	S57741046	Traveling	P22	EBIRD	720	6.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS779606688	2021-04-24 19:38:47.857637	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Cauca	CO-CAU							RN K'ok'oi Euja, comunidad Eperara Siapidaara	L9544912	P	2.8903585	-77.5358833	2019-04-05	07:00:00	obsr739943	S57740602	Traveling	P22	EBIRD	480	7.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS992715114	2020-10-09 22:18:59	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-10-04	09:30:00	obsr617180	S74556979	Traveling	P22	EBIRD	140	2.000		2	1	G5779898	0	1	0		Recorrido Lindero Umata con Luis Gabriel Mosquera.		
URN:CornellLabOfOrnithology:EBIRD:OBS1025865960	2020-12-09 12:38:46.860383	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-10-04	09:30:00	obsr621409	S77268999	Traveling	P22	EBIRD	140	2.000		2	1	G5779898	0	1	0		Recorrido Lindero Umata con Luis Gabriel Mosquera.		
URN:CornellLabOfOrnithology:EBIRD:OBS993510822	2020-10-09 22:18:59	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-10-04	09:30:00	obsr1917201	S74625292	Traveling	P22	EBIRD	140	2.000		2	1	G5779898	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1024418642	2020-12-09 12:38:47.125719	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-11-20	08:19:00	obsr617180	S77170374	Traveling	P22	EBIRD	149	6.470		2	1	G5987501	0	1	0		Observación en recorridos de los senderos de investigación de la Phyllobates terribilis. Con Estifer Garcia.		
URN:CornellLabOfOrnithology:EBIRD:OBS1026496484	2020-12-10 15:32:09.608437	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-11-20	08:19:00	obsr1917201	S77312620	Traveling	P22	EBIRD	149	6.470		2	1	G5987501	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1025866071	2020-12-09 12:38:47.125719	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-11-20	08:19:00	obsr621409	S77269005	Traveling	P22	EBIRD	149	6.470		2	1	G5987501	0	1	0		Observación en recorridos de los senderos de investigación de la Phyllobates terribilis. Con Estifer Garcia.		
URN:CornellLabOfOrnithology:EBIRD:OBS1025866154	2020-12-09 12:38:47.390241	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-12-04	08:45:00	obsr621409	S77269010	Traveling	P22	EBIRD	334	8.950		2	1	G5985206	0	1	0		Observación en recorridos de los senderos de investigación de la Phyllobates terribilis. Con Estifer Garcia y Yesid Solís.	Auditivo	
URN:CornellLabOfOrnithology:EBIRD:OBS1030885809	2021-03-31 20:03:56.634714	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-12-14	06:16:00	obsr621409	S77625045	Traveling	P22	EBIRD	141	5.270		1	1	G6014848	0	1	0		Observación para el conteo navideño versión 121 circulo de Tumbiqui	Auditivo	
URN:CornellLabOfOrnithology:EBIRD:OBS1028884038	2021-03-31 20:03:56.634714	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-12-14	06:16:00	obsr617180	S77487104	Traveling	P22	EBIRD	141	5.270		1	1	G6014848	0	1	0		Observación para el conteo navideño versión 121 circulo de Tumbiqui	Auditivo	
URN:CornellLabOfOrnithology:EBIRD:OBS1024371996	2020-12-08 14:26:40.662498	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-12-04	08:45:00	obsr617180	S77167124	Traveling	P22	EBIRD	334	8.950		2	1	G5985206	0	1	0		Observación en recorridos de los senderos de investigación de la Phyllobates terribilis. Con Estifer Garcia y Yesid Solís.	Auditivo	
URN:CornellLabOfOrnithology:EBIRD:OBS1026497895	2020-12-10 15:32:27.580645	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Cauca	CO-CAU							RNA Proaves Rana Terribilis	L3694630	H	2.7721503	-77.6710010	2020-12-04	08:45:00	obsr1917201	S77312637	Traveling	P22	EBIRD	334	8.950		2	1	G5985206	0	1	0			Auditivo	
URN:CornellLabOfOrnithology:EBIRD:OBS1124400524	2021-05-27 11:33:48.335817	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1	S 	C2	S 		Colombia	CO	Cauca	CO-CAU							Ranita Terribilis ProAves Reserve	L14483823	H	2.7699593	-77.6693651	2021-04-17	07:45:00	obsr236439	S85780560	Traveling	P22	EBIRD	68	2.370		1	1		0	1	0			09:37. Am	
URN:CornellLabOfOrnithology:EBIRD:OBS1093544141	2021-03-14 19:52:12.539689	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Chocó	CO-CHO							PNN Los Katíos--Cabaña de Sautatá	L5838176	H	7.8443056	-77.1354444	1994-06-12	07:00:00	obsr2121156	S83284368	Traveling	P22	EBIRD	540	3.000		1	1		0	1	0			Heard early in the morning	
URN:CornellLabOfOrnithology:EBIRD:OBS944769974	2021-04-24 19:37:12.794435	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Chocó	CO-CHO							PNN Ensenada de Utría--Bahia	L3220935	H	6.0527345	-77.3609376	1994-12-04	06:00:00	obsr1704441	S70577883	Traveling	P22	EBIRD	630	30.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS934936662	2020-05-30 20:11:11	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Chocó	CO-CHO							PNN Ensenada de Utría--Bahia	L3220935	H	6.0527345	-77.3609376	2009-02-20	05:45:00	obsr1704441	S69865575	Traveling	P22	EBIRD	675	18.000		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS695645752	2019-09-13 14:25:13	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Chocó	CO-CHO							Bahía Solano	L8390192	P	6.2244656	-77.4064672	2009-05-31	05:30:00	obsr884204	S51447644	Traveling	P22	EBIRD	720	12.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679409163	2018-11-23 14:11:43	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Chocó	CO-CHO							Joví, Nuquí, Choco	L8175240	P	5.6154263	-77.3824914	2009-06-05	06:00:00	obsr884204	S50155743	Traveling	P22	EBIRD	300	4.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679400956	2019-09-13 10:46:38	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Chocó	CO-CHO							Joví, Nuquí, Choco	L8175240	P	5.6154263	-77.3824914	2009-06-02	06:00:00	obsr884204	S50155130	Traveling	P22	EBIRD	300	4.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679417531	2019-09-13 10:53:58	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Chocó	CO-CHO							Joví, Nuquí, Choco	L8175240	P	5.6154263	-77.3824914	2009-06-07	06:00:00	obsr884204	S50156396	Traveling	P22	EBIRD	300	4.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS695655492	2019-09-13 10:53:58	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Chocó	CO-CHO							Bahía Solano	L8390192	P	6.2244656	-77.4064672	2009-06-01	05:30:00	obsr884204	S51448294	Traveling	P22	EBIRD	480	6.000		3	1		0	1	0				
