GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS650328917	2018-08-21 23:31:38	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	La Guajira	CO-LAG							Santa Rita de Jerez	L7849232	P	11.2586066	-73.2558832	2013-02-07	15:30:00	obsr194291	S47998832	Traveling	P22	EBIRD	90	4.000		8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS209392670	2021-08-04 22:32:40.00067	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Camarones area	L2075822	P	11.4210549	-73.0582237	2013-02-17		obsr176333	S15058383	Incidental	P20	EBIRD				1	1		0	1	0			/h j	
URN:CornellLabOfOrnithology:EBIRD:OBS186947759	2019-07-21 13:31:09	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Camarones area	L2075822	P	11.4210549	-73.0582237	2013-02-23	16:00:00	obsr163792	S13483449	Traveling	P22	EBIRD	90	1.609		5	1	G590415	1	1	0		Accompanied by a local guide. Very hot, and very buggy. Roger in particular got eaten up this afternoon. Great birding though!	I had been only person to miss one earlier, very happy to catch up!	
URN:CornellLabOfOrnithology:EBIRD:OBS870705882	2020-02-26 15:29:08	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Los Flamencos Fauna and Flora Sanctuary	L10601500	P	11.4015000	-73.1166000	2013-02-02		obsr334444	S65105117	Historical	P62	EBIRD					0		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS222317841	2015-07-20 22:20:36	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Perico (peublo)	L726305	H	11.3709251	-73.0852818	2013-02-21	05:52:00	obsr287680	S16050270	Incidental	P20	EBIRD_PE				12	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS464943771	2020-07-16 09:46:40	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							SFF Los Flamencos--Boca de Camarones	L2080823	H	11.4316762	-73.0861402	2013-02-13		obsr626098	S34303506	Historical	P62	EBIRD					1	G2203212	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS928381448	2020-05-21 17:09:05	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							SFF Los Flamencos	L1637004	H	11.4047479	-73.0990563	2013-02-25	07:00:00	obsr431114	S69429978	Traveling	P22	EBIRD	285	4.828		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS187561902	2021-08-04 22:32:40.00067	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Los Flamencos area (south)	L2076733	P	11.2770491	-73.1216741	2013-02-24	07:00:00	obsr163792	S13488969	Traveling	P22	EBIRD	420	8.047		5	1	G590409	0	1	0		4 different stops in area, with one area a nice pasture right along road near a check station. This is where the Thick-knees were found, otherwise a short drive down a road to the west from there and a walk down a road to the east with the local again. Also included the beach birding we did in area of restaurant where gulls and terns had congregated.		
URN:CornellLabOfOrnithology:EBIRD:OBS281431604	2020-07-16 09:46:38	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							SFF Los Flamencos--Boca de Camarones	L2080823	H	11.4316762	-73.0861402	2013-02-13		obsr545158	S20592528	Historical	P62	EBIRD					1	G2203212	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS190370792	2019-07-21 13:31:09	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Camarones area	L2075822	P	11.4210549	-73.0582237	2013-02-23	16:00:00	obsr176333	S13730217	Traveling	P22	EBIRD	90	1.609		5	1	G590415	1	1	0		Accompanied by a local guide. Very hot, and very buggy. Roger in particular got eaten up this afternoon. Great birding though!	I had been only person to miss one earlier, very happy to catch up!--<a href="http://www.pbase.com/mctodd/image/149121526"><img src="http://www.pbase.com/mctodd/image/149121526.jpg/" /></a>	
URN:CornellLabOfOrnithology:EBIRD:OBS870716254	2020-02-26 15:41:54	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Los Flamencos Fauna and Flora Sanctuary	L10601500	P	11.4015000	-73.1166000	2013-02-04		obsr423367	S65111588	Historical	P62	EBIRD					0		1	1	0		Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Los Flamencos Fauna and Flora Sanctuary (11.4015, -73.1166).	IBC scientific name: Picumnus cinnamomeus cinnamomeus.	
URN:CornellLabOfOrnithology:EBIRD:OBS621254218	2021-08-04 22:32:40.00067	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							SFF Los Flamencos	L1637004	H	11.4047479	-73.0990563	2013-02-24	07:00:00	obsr334446	S45874152	Traveling	P22	EBIRD	420	8.047		5	1		0	1	0		4 different spots in area, one nice pasture (Thick-knee area).		
URN:CornellLabOfOrnithology:EBIRD:OBS378268601	2021-08-05 00:09:06.510397	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	La Guajira	CO-LAG							Vereda La Mesa Corregim. Juan y Medio	L4325908	P	11.1212229	-72.9525232	2013-02-13	06:00:00	obsr636777	S27918371	Traveling	P22	EBIRD	240	2.000		1	1		0	1	0		TRANSECTO 3 MICROCUENCA TOTUMO		
URN:CornellLabOfOrnithology:EBIRD:OBS190368399	2021-08-04 22:32:40.00067	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Los Flamencos area (south)	L2076733	P	11.2770491	-73.1216741	2013-02-24	07:00:00	obsr176333	S13730080	Traveling	P22	EBIRD	420	8.047		5	1	G590409	0	1	0		4 different stops in area, with one area a nice pasture right along road near a check station. This is where the Thick-knees were found, otherwise a short drive down a road to the west from there and a walk down a road to the east with the local again. Also included the beach birding we did in area of restaurant where gulls and terns had congregated.		
URN:CornellLabOfOrnithology:EBIRD:OBS185645180	2021-08-04 22:32:40.00067	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	La Guajira	CO-LAG							Riohacha, I-90  No.  2 a 100	L2058817	P	11.4304300	-73.0800600	2013-02-17	06:00:00	obsr176333	S13385154	Traveling	P22	EBIRD	225	1.609		3	1		0	1	0		Submitted from  BirdLog World for Android v1.7	heard	
URN:CornellLabOfOrnithology:EBIRD:OBS461954617	2021-03-31 20:04:39.441555	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Los Flamencos area (south)	L2076733	P	11.2770491	-73.1216741	2013-02-24	07:00:00	obsr248022	S34060336	Traveling	P22	EBIRD	420	8.047		5	1	G590409	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS461956843	2019-07-21 13:31:09	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Camarones area	L2075822	P	11.4210549	-73.0582237	2013-02-23	16:00:00	obsr248022	S34060518	Traveling	P22	EBIRD	90	1.609		5	1	G590415	1	1	0			I had been only person to miss one earlier, very happy to catch up!--<a href="http://www.pbase.com/mctodd/image/149121526"><img src="http://www.pbase.com/mctodd/image/149121526.jpg/" /></a>	
URN:CornellLabOfOrnithology:EBIRD:OBS185211977	2016-04-18 22:18:40	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	La Guajira	CO-LAG							Camarones area	L2054648	P	11.4854079	-72.9986572	2013-03-06	06:00:00	obsr167882	S13357742	Traveling	P22	EBIRD	240	32.187		11	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS866850118	2020-05-16 16:40:03	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Los Flamencos	L10802929	P	11.4139850	-73.0668850	2013-03-13		obsr578946	S64709111	Historical	P62	EBIRD					1		0	1	0			5 seen + 1 more heard	
URN:CornellLabOfOrnithology:EBIRD:OBS548198244	2021-05-05 16:54:31.728766	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Reserva Forestal Protectora Regional Montes de Oca	L6533139	H	11.1522980	-72.4453497	2013-03-10	05:30:00	obsr915580	S40404774	Traveling	P22	EBIRD	240	2.000		3	1		0	1	1			Ocurre en Jasainapo	
URN:CornellLabOfOrnithology:EBIRD:OBS193121600	2021-03-31 20:04:39.441555	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Pericos y Camarones, Sanctuario de Fauna y Flora Los Flamencos	L2141092	P	11.3878211	-73.1159878	2013-04-14	08:00:00	obsr339449	S13910462	Traveling	P22	EBIRD	360	20.000		6	1		0	1	0		Natural Encounters Birding Tours with Greg R. Homel		
URN:CornellLabOfOrnithology:EBIRD:OBS870673624	2020-02-26 15:21:25	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Los Flamencos Fauna and Flora Sanctuary	L10601500	P	11.4015000	-73.1166000	2013-05-23		obsr162605	S65088579	Historical	P62	EBIRD					0		1	1	0		Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Los Flamencos Fauna and Flora Sanctuary (11.4015, -73.1166).	IBC scientific name: Picumnus cinnamomeus cinnamomeus.	
URN:CornellLabOfOrnithology:EBIRD:OBS926781604	2021-07-23 01:26:35.23244	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							SFF Los Flamencos	L1637004	H	11.4047479	-73.0990563	2013-06-22	06:30:00	obsr1400051	S69327541	Traveling	P22	EBIRD	180	8.047		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS205981068	2020-07-16 09:46:44	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Los Flamencos Nature Sanctuary	L2295957	P	11.4221486	-73.0683517	2013-07-17	07:00:00	obsr144023	S14798063	Incidental	P20	EBIRD				7	0		0	1	0		Entrance road to lagoon as well as beach area with restaurant and fishing boats		
URN:CornellLabOfOrnithology:EBIRD:OBS550914867	2020-07-16 09:46:34	10525	species	Chestnut Piculet	Picumnus cinnamomeus			3					Colombia	CO	La Guajira	CO-LAG							SFF Los Flamencos	L1637004	H	11.4047479	-73.0990563	2013-07-06	06:00:00	obsr286988	S40620318	Traveling	P22	EBIRD	210	3.000		5	1		0	1	0		Diego Calderon		
URN:CornellLabOfOrnithology:EBIRD:OBS829255980	2020-07-16 09:46:24	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	La Guajira	CO-LAG							La Guajira, CO (11.107, -72.691)	L10169848	P	11.1069764	-72.6908707	2013-07-15	06:30:00	obsr530171	S61551271	Traveling	P22	EBIRD	300	2.900		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS301300158	2019-03-20 03:49:34	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							SFF Los Flamencos	L1637004	H	11.4047479	-73.0990563	2013-09-15		obsr598584	S22201483	Historical	P62	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS212193801	2021-08-10 10:03:29.732185	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Camarones and lagoon	L2367446	P	11.4360020	-73.0660520	2013-09-26	06:00:00	obsr345551	S15263050	Traveling	P22	EBIRD	240	5.005		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS219146234	2020-07-16 09:46:45	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Camarones Road	L2437966	P	11.4060946	-73.0653262	2013-11-11	07:30:00	obsr102797	S15784894	Traveling	P22	EBIRD	270	6.437		14	1		0	1	0				
