GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS732051636	2019-04-14 11:10:33	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Old Buenaventura Road -Km 55 to 90	L8952998	P	3.5955030	-76.7887170	2019-03-31	09:51:00	obsr204771	S54433794	Traveling	P22	EBIRD	300	32.187		3	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS718080255	2020-03-12 23:55:00	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Alto Anchicayá - El Danubio	L3310063	H	3.6066140	-76.8797250	2019-03-02	15:20:00	obsr787866	S53364099	Traveling	P22	EBIRD	120	5.000		2	1	G3915978	0	1	0		Desde un par de kilómetros antes de El Danubio hasta un par de kilómetros después		
URN:CornellLabOfOrnithology:EBIRD:OBS722488923	2019-03-10 10:38:47	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							RN San Cipriano-Escalerete	L2711479	H	3.8344440	-76.8891670	2019-03-06	07:48:00	obsr613983	S53665079	Traveling	P22	EBIRD	240	6.000		3	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS722755675	2019-03-10 19:33:00	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							RN Aguaclara	L4303937	H	3.6701398	-76.9447660	2019-03-08	07:00:00	obsr726711	S53685446	Traveling	P22	EBIRD	700	25.000		4	1	G3934642	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS720623751	2019-03-06 17:26:34	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Valle del Cauca	CO-VAC							Balneario La Delfina	L5513427	H	3.8231104	-76.7815684	2019-03-06	09:58:00	obsr675713	S53523517	Traveling	P22	EBIRD_COL	136	1.520		7	1	G3922303	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS727599255	2020-01-27 18:02:07	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Valle del Cauca, CO (3.613, -76.888)	L8894379	P	3.6127021	-76.8883292	2019-03-17	15:00:00	obsr108813	S54094024	Traveling	P22	EBIRD	220	1.500		4	1	G3967765	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS734595939	2019-04-06 17:08:45	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Murrapal (ANC)	L8706928	P	3.5495100	-76.8869900	2019-03-02	10:03:00	obsr558974	S54640090	Traveling	P22	EBIRD	137	5.000		5	1	G4016634	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS727599338	2020-01-27 18:02:07	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Valle del Cauca, CO (3.613, -76.888)	L8894379	P	3.6127021	-76.8883292	2019-03-17	15:00:00	obsr330760	S54094025	Traveling	P22	EBIRD	220	1.500		4	1	G3967765	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS732263348	2019-08-10 18:38:52	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Valle del Cauca	CO-VAC							RN San Cipriano-Escalerete	L2711479	H	3.8344440	-76.8891670	2019-03-20	05:30:00	obsr507040	S54449900	Traveling	P22	EBIRD	382	4.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS721883410	2019-03-10 19:33:00	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							RN Aguaclara	L4303937	H	3.6701398	-76.9447660	2019-03-08	07:00:00	obsr674509	S53617391	Traveling	P22	EBIRD	700	25.000		4	1	G3934642	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS718318077	2020-03-12 23:55:00	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Alto Anchicayá - El Danubio	L3310063	H	3.6066140	-76.8797250	2019-03-02	15:20:00	obsr849040	S53379868	Traveling	P22	EBIRD	120	5.000		2	1	G3915978	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS745109860	2019-04-26 00:17:39	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							RN San Cipriano-Escalerete	L2711479	H	3.8344440	-76.8891670	2019-03-29	07:15:00	obsr538843	S55416457	Traveling	P22	EBIRD_COL	167	1.990		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS719837380	2019-03-18 10:42:14	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Valle del Cauca	CO-VAC							RN San Cipriano-Escalerete	L2711479	H	3.8344440	-76.8891670	2019-03-01	08:00:00	obsr164576	S53476033	Traveling	P22	EBIRD	227	3.500		8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS746870937	2019-06-06 15:39:47	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Vía Buenaventura, Valle del Cauca, CO (3.757, -76.968)	L9121504	P	3.7569970	-76.9676111	2019-04-25	08:59:00	obsr575116	S55533465	Stationary	P21	EBIRD	50			5	1	G4098239	1	1	0			Foto	
URN:CornellLabOfOrnithology:EBIRD:OBS743360015	2021-04-24 19:37:57.053947	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Balneario Valparaiso	L5186385	H	3.8486879	-76.7964902	2019-04-07	09:00:00	obsr602137	S55282184	Traveling	P22	EBIRD	120	0.500		2	1	G4075948	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS736343035	2019-04-09 21:53:05	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							San Cipriano, Buenaventura CO-Valle Del Cauca (3.8378,-76.8972)	L7457068	P	3.8377920	-76.8972410	2019-04-09	13:02:00	obsr162605	S54769208	Traveling	P22	EBIRD_COL	120	1.000		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS745572062	2019-06-06 15:39:47	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Vía Buenaventura, Valle del Cauca, CO (3.757, -76.968)	L9121504	P	3.7569970	-76.9676111	2019-04-25	08:59:00	obsr269273	S55423298	Stationary	P21	EBIRD	50			5	1	G4098239	1	1	0			Foto	
URN:CornellLabOfOrnithology:EBIRD:OBS733818015	2019-09-13 07:04:12	33778	species	Blue-whiskered Tanager	Tangara johannae			2					Colombia	CO	Valle del Cauca	CO-VAC							San Cipriano, Buenaventura CO-Valle Del Cauca (3.8378,-76.8972)	L7457068	P	3.8377920	-76.8972410	2019-04-03	06:57:00	obsr162605	S54574458	Traveling	P22	EBIRD_COL	245	4.000		4	1	G4506010	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS747524036	2019-06-06 15:39:47	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Vía Buenaventura, Valle del Cauca, CO (3.757, -76.968)	L9121504	P	3.7569970	-76.9676111	2019-04-25	08:59:00	obsr821541	S55577760	Stationary	P21	EBIRD	50			5	1	G4098239	1	1	0			Foto	
URN:CornellLabOfOrnithology:EBIRD:OBS753190945	2019-06-06 15:39:47	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Vía Buenaventura, Valle del Cauca, CO (3.757, -76.968)	L9121504	P	3.7569970	-76.9676111	2019-04-25	08:59:00	obsr773154	S55930274	Stationary	P21	EBIRD	50			5	1	G4098239	1	1	0			Foto	
URN:CornellLabOfOrnithology:EBIRD:OBS743334045	2021-04-24 19:37:57.08749	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Balneario Valparaiso	L5186385	H	3.8486879	-76.7964902	2019-04-07	09:00:00	obsr742072	S55280333	Traveling	P22	EBIRD	120	0.500		2	1	G4075948	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS747386758	2019-06-06 15:39:47	33778	species	Blue-whiskered Tanager	Tangara johannae			1					Colombia	CO	Valle del Cauca	CO-VAC							Vía Buenaventura, Valle del Cauca, CO (3.757, -76.968)	L9121504	P	3.7569970	-76.9676111	2019-04-25	08:59:00	obsr498592	S55568237	Stationary	P21	EBIRD	50			5	1	G4098239	1	1	0			Foto	
